iter	Passed	Remaining
0	1	134
1	2	123
2	3	117
3	4	108
4	5	106
5	6	104
6	7	103
7	8	102
8	10	103
9	11	102
10	12	101
11	13	99
12	14	98
13	15	97
14	16	95
15	18	94
16	19	93
17	20	91
18	21	90
19	22	89
20	23	88
21	24	87
22	25	85
23	26	84
24	27	83
25	28	82
26	29	81
27	31	80
28	32	79
29	33	77
30	34	76
31	35	75
32	36	74
33	37	73
34	38	72
35	39	70
36	40	69
37	42	68
38	43	67
39	44	66
40	45	65
41	45	63
42	46	62
43	47	61
44	48	59
45	50	58
46	51	57
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	50
53	58	49
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	43
60	65	42
61	66	41
62	67	39
63	69	38
64	70	37
65	71	36
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	29
73	80	28
74	81	27
75	82	25
76	83	24
77	84	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	94	14
87	95	12
88	96	11
89	97	10
90	98	9
91	99	8
92	100	7
93	101	6
94	102	5
95	104	4
96	105	3
97	106	2
98	107	1
99	108	0
